Spring,Unit,Date,Time,T(c) ,P,Discharge,Specific_conductivity,Dissolved Oxygen,ph,Carbonate,Bicarbonate,Alkalinity,Calcium,Magnesium,Sodium,Potassium,Chloride,Sulfate,Fluoride,Silica,Arsenic,Barium,Beryllium,Boron,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Manganese,Thallium,Molybdenum,Nickel,Strontium,Vanadium,Zinc,Antimony,Aluminum,Lithium,Selenium,Radium-226,Uranium-238,Uranium-234,Uranium-235,Uranium_natural,Uranium-234/uranium-238,beta_radioactivity,Alpha_ radioactivity,strontium-87/strontium-86,Radium-228,Delta_D,delta_O18
Table Rock ,Toroweap Formation,8/27/2015,10:00,17.9,638,,1450,7.7,7.8,0.5,160,132,208,79,14,2.4,25,693,0.64,13,0.3,9.3,< 0.005,60,0.041,< 0.2,< 2.0,1.2,8,0.14,0.5,0.46,7.4,7,1916,0.39,17,0.19,1.7,12,15,,2.2,4,0.19,6.6,,7.6,11.2,0.70834,,-85.6,-11.71
Wildband ,Toroweap Formation,11/6/2012,14:12,15,645,0.3,3250,9.4,8.3,0.9,150,125,640,210,28,1.7,23,2070,0.77,20,0.75,23,< 0.007,171,0.014,< 0.4,< 0.04,1.6,< 15,0.33,< 0.7,0.004,22,< 4,6320,0.99,3.8,< 0.10000,2.1,38,5.3,< 4,3.02,6.3,0.15,8.7,2.121,2.1,7,0.70778,< 4,-79.8,-9.61
Water Canyon ,Toroweap Formation,11/8/2012,9:42,10.2,654,,3610,0.3,7.4,0.6,337,278,640,288,57,5.4,40,2300,1.37,24,1.6,36,0.005,580,0.007,< 0.20,0.83,0.72,68,0.12,190,0.003,8.3,5,9030,1.4,3.2,0.12,57,140,2.1,,,,,3.2,,,,,,-79.1,-10.34
Pigeon ,Toroweap Formation,3/15/2012,12:12,8.3,642,0.06,2640,0.3,7,,297,244,436,160,17,5,22,1320,0.45,12,0.76,12,< 0.010,173,0.01,< 0.1,< 0.9,< 0.08,4,0.019,4.1,0.009,12,< 1.00,4814,1.6,2.5,0.082,0.2,40,72,,28.9,41.4,2.3,92,,31,127,0.70852,,-90.9,-12.05
Pigeon ,Toroweap Formation,11/7/2012,10:12,11.8,644,,2750,6.2,7.2,0.3,292,240,455,171,22,5.2,21,1520,0.49,14,0.51,12,0.003,144,0.0054,0.8,0.1,0.5,< 1,0.019,2.5,0.024,9.2,< 4,4980,1,2.8,0.04,< 0.20,33,51,< 4,24,32.9,1.21,74,1.404,23.3,91,0.70852,< 4,-91.2,-11.96
Pigeon ,Toroweap Formation,9/10/2014,13:30,20,631,,2610,4.7,6.9,0.2,294,242,442,152,16,5.3,20,1450,0.52,13,0.6,11,< 0.06,179,< 0.03,< 2.0,< 8,0.6,7,0.15,1,0.06,10,< 15,5200,1.9,10,0.05,2,35,69,,25,36,1.26,73,,43,36,,,-89.2,-11.84
Upper Jumpup ,Coconino Sandstone,8/27/2009,14:42,13.4,,1.3,,5,7.4,,195,160,137,59,9.6,1.6,16.2,401,0.27,9.8,1,11,< 0.020,40,< 0.002,3.1,< 0.20,0.13,< 2.0,0.01,< 0.02000,0.095,4.3,< 0.3,1160,0.86,13,0.016,0.21,8.7,19,0.23,,,,3.9,4.584,,,0.7079,0.122,-90.34,-12.23
Upper Jumpup ,Coconino Sandstone,7/7/2015,16:45,13.3,636,,1020,8.4,6.6,0.1,189,155,125,59,10,1.6,16,393,0.21,10,0.97,11,< 0.004,40,0.01,3.2,0.02,0.49,20,0.11,< 0.1,0.18,4.2,< 2,1086,0.86,15,0.042,2,8.5,19,,1.26,5.7,0.09,3.8,,7.8,11.1,,,,
Big ,Coconino Sandstone,5/11/2016,10:30,8.8,595,897.7*,356,8.8,7.6,0.3,229,189,42,20,2.1,0.56,1.7,3,0.06,7,0.67,231,< 0.0010,10,0.01,1.7,0.2,0.57,3,0.01,0.32,0.03,0.23,< 0.50,54,1,0.86,0.08,1.5,0.8,1,,0.14,0.94,R 0.01,0.37,,2.4,2.4,0.70971,,-98.1,-13.56
Little ,Coconino Sandstone,11/10/2015,15:00,14.4,594,,706,8.4,7.8,0.7,227,188,89,39,8,1.4,13.8,180,0.17,11,0.87,17,< 0.0008,32,< 0.001,2.2,< 0.10,0.19,3,0.007,< 0.05,0.051,1.4,< 0.4,681,1.7,3.7,0.026,0.62,6.4,7,,0.55,2.9,0.07,1.5,,2.2,5.5,0.70789,,-91.9,-12.11
Boulder ,Coconino Sandstone,11/10/2015,13:45,14.4,594,,710,8.1,7.4,0.5,221,182,85,38,8,1.4,14.5,190,0.18,11,0.75,22,0.0009,28,0.003,1.3,< 0.10,0.28,1,0.006,0.4,0.031,1.3,< 0.4,703,1.4,1.7,0.041,1.2,6.6,7.5,,0.56,2.3,0.049,1.4,,1.9,4.9,0.7079,,-90.8,-11.99
Horse ,Coconino Sandstone,8/25/2015,16:10,18.2,644,,1250,7.3,7.5,0.8,222,183,150,66,10,1.7,20,484,0.28,10,0.63,13,0.005,56,0.011,2.3,0.37,1.1,9,0.088,1.6,0.16,3.1,< 2.0,1587,1.3,25,0.26,1.8,12,20,,1.22,5.8,0.11,3.7,,3.8,11.2,0.70779,,-89.8,-11.89
Rider ,Coconino Sandstone,8/25/2009,15:10,18.9,665,0.02,1380,7.7,8.3,0,71,59,63.9,65.6,91.7,5.79,57.4,449,1.59,8.2,4.8,8.3,< 0.020,559,0.036,3,0.088,< 1.0,12.1,< 0.060,E 0.15,< 0.040,17.1,0.4,1280,0.65,E 1.5,< 0.040,< 4.0,70.5,20,< 4,,,,4.5,2.627,,,0.70943,< 4,-125,-15.61
Slide ,Coconino Sandstone,8/27/2009,15:27,15.6,,130,1200,8.6,7.3,,232,190,147,65,9.3,1.9,15.3,428,0.38,9.8,0.77,10,< 0.020,63,< 0.00200,2.9,< 0.20,0.22,< 2.00,0.004,< 0.020,0.081,2.4,< 0.3,1640,1.2,15,0.015,0.23,13,21,,,,,2.8,5.59,,,0.70778,,-88.69,-11.67
Slide ,Coconino Sandstone,7/27/2011,15:57,15.5,639,67,1150,8,7.5,,232,191,139,71,11,1.9,13,416,0.27,11,0.73,10,0.007,67,0.014,3.1,< 0.4,0.04,3,< 0.1,0.06,0.12,3.1,< 1.00,1618,1.2,16,< 0.20,0.7,13,18,< 4,0.89,4.7,R 0.00045,2.7,5.479,3.1,12,,< 4,-87.9,-11.71
Slide ,Coconino Sandstone,8/25/2015,10:45,15.6,644,32,1120,7.8,6.9,0.2,221,182,140,68,11,2.1,16,429,0.31,10,0.64,10,< 0.0040,65,0.014,3,0.03,0.84,4,0.062,< 0.10,0.16,2.5,< 2,1558,1.3,17,0.032,0.8,13,20,,0.94,4.9,0.11,2.8,,6.8,7.2,0.70774,,-88.2,-11.74
Warm s,Coconino Sandstone,8/26/2015,9:35,11.4,599,E 3.8,545,8.5,7,0.4,183,151,58,29,5.5,0.79,8.4,128,0.17,8.8,0.34,17,< 0.00200,22,< 0.0030,2.4,0.15,1.8,1,0.026,0.19,0.034,0.48,0.9,471,2,2.9,0.22,2,3.1,3.3,,0.3,1.97,0.032,0.86,,R 1.0,2.8,0.70796,,-96.8,-13.26
Willow (Snake Gulch),Coconino Sandstone,3/15/2012,10:42,11.1,646,0.75,2610,8.9,8.2,,171,140,438,154,28,3.9,22,1440,0.71,13,0.73,12,< 0.01000,160,0.009,< 0.1,< 0.9,< 0.1,< 2.0,0.015,< 0.020,0.013,18,< 1,5090,0.65,1.8,0.1,< 0.2,37,26,< 4,3.56,8.5,0.31,14,2.313,7,24,0.7078,< 4,-91.2,-12.05
Willow (Snake Gulch),Coconino Sandstone,11/7/2012,11:12,12.2,646,1.1,2860,8.8,8,1,244,202,482,167,34,3.9,20,1640,0.65,14,0.58,14,< 0.008,175,0.003,< 0.3,0.04,1.7,< 7,0.061,2.5,0.021,17,< 4,5620,0.7,3.8,0.2,< 1.00,47,12,< 4,5.3,12.2,0.27,18,2.304,8.8,26,0.70781,< 4,-90.7,-12.1
Swamp ,Hermit Formation,11/12/2015,15:00,12.6,581,4.7,437,4.2,7.9,2.2,312,260,52,28,3.1,0.7,3.7,5.6,0.15,8,2,106,< 0.0008,13,< 0.0010,0.39,< 0.10,0.26,< 0.8,< 0.0050,< 0.05,0.013,0.84,< 0.40,57,0.95,< 0.09,0.058,0.94,1,1.5,,0.58,1.28,0.06,1.6,,1.6,2.1,0.71041,,-95.1,-13.15
Powell ,Hermit Formation,11/12/2015,13:00,10.5,581,2.3,613,6.9,7.6,0.9,416,342,69,32,4,0.89,3.7,2,0.11,12,0.94,249,0.001,17,0.024,0.41,< 0.10000,1,2.7,< 0.005,0.57,< 0.010,0.32,< 0.4,82,1.3,0.64,0.24,2.1,2.5,0.61,,0.39,1.24,0.03,0.99,,1.4,1.9,0.71033,,-93,-13.01
Schmutz ,Hermit Formation,8/25/2009,14:42,19.8,,,1600,6.7,7.4,,121,100,241,78,12,2.7,18.4,826,0.47,12,1.8,8.5,< 0.02,102,< 0.002,0.3,< 0.20,0.05,< 2.00,0.007,0.64,0.079,7.8,< 0.3,2340,0.48,4,0.013,0.5,23,31,< 4,,,,4.4,1.858,,,0.70762,< 4,-81.2,-11.17
Schmutz ,Hermit Formation,7/27/2011,10:42,18.9,647,0,1530,7,7.7,,126,103,232,78,14,2.7,16,766,0.37,12,2,8.4,0.02,104,0.03,< 1,< 0.4,0.13,3,< 0.3,0.5,0.16,8.4,< 1.00,2230,0.6,6.3,< 0.30,1.9,24,27,< 4,1.25,2.58,0.06,4.2,1.873,4.5,4.8,,< 4,-82.6,-11.16
27 Mule ,Hermit Formation,4/22/2016,8:00,15.2,,,1360,2,6.9,0.3,339,279,165,85,16,2.2,30,458,0.33,14,1,15,0.002,42,0.013,< 0.1,0.4,0.26,226,0.14,16,0.05,1.6,< 0.5,1490,< 0.10,1.6,0.022,0.7,17,1,,1.11,3.9,0.07,3.6,,3.4,3.7,0.70793,,-91.2,-12.35
Willow (Hack),Hermit Formation,8/26/2009,11:12,18.6,,,,6.4,7.4,,102,85,480,222,65,11,48.5,2100,0.95,11,1.2,7.7,< 0.020,325,< 0.002,1.1,< 0.20,0.18,27,0.021,0.26,0.059,12,< 0.3,7360,1.8,11,0.015,0.96,75,51,< 4,,,,19,1.646,,,0.70789,< 4,-76.11,-10.58
Willow (Hack),Hermit Formation,8/3/2011,10:12,23,,1,3230,8.3,7.3,,107,87.9,474,240,107,16,73,2056,0.6,12,2,8.1,< 0.20,351,0.1,< 2.0,< 0.4,< 0.2,12,< 0.2,1.3,0.18,17,< 1,7220,2,21,< 1,5,122,54,< 4,7.8,12.5,0.38,24,1.593,22,17,,< 4,-78.4,-10.72
Willow (Hack),Hermit Formation,11/8/2012,13:57,12.7,657,,3260,9,7.6,0.2,110,90.8,489,216,76,13,57,1960,0.68,11,0.7,8.1,< 0.020,313,< 0.01,0.7,< 0.1,0.5,< 13,0.04,1.4,0.063,14,< 4,7020,1.7,10,< 0.30000,< 2.0,108,52,0.19,6.2,10.2,0.36,21,1.657,15.1,19,0.70788,0.07,-78.6,-10.69
Grama ,Hermit Formation,8/10/2011,13:12,17.8,666,0.87,2360,8.2,7.2,,123,101,339,160,54,9.6,48,1341,0.65,13,1,9.4,< 0.10,258,< 0.03,4,< 0.4,0.4,8,< 0.1,0.3,0.09,8.8,< 1,3609,1.8,19,< 0.6,3,74,35,,5.2,10.5,0.39,17,1.978,14.9,17,,,-82.2,-11.19
