Spring,Formation,Season,Anhydrite,Aragonite,Calcite,CO2(g),Dolomite,Fluorite,Gypsum,H2(g),H2O(g),Halite,O2(g)
Table Rock,Toroweap Formation,August,-0.85,0.37,0.52,-2.69,0.87,-1.13,-0.61,-23.62,-1.7,-8.07,-38.45
Wildband,Toroweap Formation,November,-0.21,1.06,1.21,-3.31,2.16,-0.71,0.04,-24.63,-1.78,-7.86,-37.5
Water Canyon,Toroweap Formation,November,-0.19,0.45,0.61,-2.05,1.01,-0.19,0.07,-22.85,-1.91,-7.31,-42.87
Pigeon,Toroweap Formation,March,-0.43,-0.09,0.06,-1.69,-0.2,-1.13,-0.17,-22.06,-1.97,-8.05,-45.19
Pigeon,Toroweap Formation,November,-0.39,0.15,0.3,-1.89,0.35,-1.12,-0.14,-22.45,-1.87,-7.98,-43.07
Pigeon,Toroweap Formation,September,-0.42,-0.03,0.12,-1.53,0.06,-1.19,-0.18,-21.82,-1.64,-8.15,-41.31
Upper Jumpup,Coconino Sandstone,Augst,-1.15,-0.11,0.04,-2.21,-0.1,-1.9,-0.9,-22.84,-1.82,-8.39,-41.68
Upper Jumpup,Coconino Sandstone,July,-1.19,-0.96,-0.81,-1.43,-1.76,-2.15,-0.94,-21.24,-1.83,-8.38,-44.92
Big,Coconino Sandstone,May,-3.49,-0.24,-0.09,-2.34,-0.4,-3.41,-3.23,-23.26,-1.95,-9.97,-42.6
Little,Coconino Sandstone,November,-1.57,0.26,0.41,-2.53,0.66,-2.41,-1.32,-23.64,-1.79,-8.52,-39.72
Boulder,Coconino Sandstone,November,-1.57,-0.17,-0.02,-2.14,-0.19,-2.37,-1.32,-22.84,-1.79,-8.5,-41.32
Horse,Coconino Sandstone,August,-1.07,0.13,0.28,-2.24,0.46,-1.93,-0.83,-23.02,-1.69,-8.3,-39.55
Rider,Coconino Sandstone,August,-1.43,0.08,0.23,-3.54,0.73,-0.78,-1.19,-24.62,-1.67,-6.88,-36.1
Slide,Coconino Sandstone,August,-1.12,-0.09,0.06,-2.03,-0.01,-1.62,-0.87,-22.63,-1.76,-8.44,-41.28
Slide,Coconino Sandstone,July,-1.15,0.09,0.24,-2.23,0.41,-1.95,-0.91,-23.03,-1.76,-8.44,-40.52
Slide,Coconino Sandstone,August,-1.14,-0.52,-0.37,-1.65,-0.84,-1.82,-0.89,-21.83,-1.76,-8.35,-42.88
Warm,Coconino Sandstone,August,-1.83,-0.82,-0.67,-1.83,-1.49,-2.49,-1.57,-22.05,-1.88,-8.88,-44.02
Willow (Snake Gulch),Coconino Sandstone,March,-0.41,0.87,1.03,-3.15,1.76,-0.78,-0.15,-24.45,-1.89,-7.85,-39.34
Willow (Snake Gulch),Coconino Sandstone,November,-0.35,0.87,1.03,-2.78,1.77,-0.87,-0.09,-24.04,-1.86,-7.81,-39.73
Swamp,Hermit Formation,November,-3.19,0.32,0.47,-2.49,0.84,-2.62,-2.94,-23.84,-1.84,-9.48,-39.98
Powell,Hermit Formation,November,-3.55,0.21,0.36,-2.08,0.52,-2.76,-3.3,-23.25,-1.9,-9.37,-41.96
Schmutz,Hermit Formation,August,-0.74,-0.07,0.07,-2.4,-0.07,-1.38,-0.51,-22.82,-1.65,-8.28,-39.38
Schmutz,Hermit Formation,July,-0.78,0.22,0.36,-2.7,0.52,-1.58,-0.54,-23.42,-1.67,-8.27,-38.5
27 Mule,Hermit Formation,April,-1.08,-0.3,-0.14,-1.47,-0.36,-1.73,-0.84,-21.83,-1.77,-7.92,-43.02
Willow (Hack),Hermit Formation,August,-0.31,-0.03,0.12,-2.51,0.16,-0.71,-0.07,-22.82,-1.68,-7.17,-39.8
Willow (Hack),Hermit Formation,August,-0.33,-0.06,0.09,-2.37,0.19,-1.19,-0.1,-22.61,-1.56,-6.79,-38.67
Willow (Hack),Hermit Formation,November,-0.31,0.12,0.28,-2.72,0.38,-0.88,-0.06,-23.24,-1.84,-7.02,-41.14
Grama,Hermit Formation,August,-0.53,-0.24,-0.09,-2.22,-0.25,-1.07,-0.29,-22.42,-1.7,-7.23,-40.89
Grama,Hermit Formation,November,-0.56,0.32,0.47,-2.83,0.82,-1,-0.31,-23.63,-1.77,-7.4,-39.39
Oak,Hermit Formation,November,-2.15,-0.36,-0.2,-2.27,-0.57,-2.39,-1.89,-23.06,-1.98,-8.77,-43.35
Rock,Hermit Formation,September,-0.4,0.6,0.75,-2.84,1.32,-0.8,-0.16,-23.82,-1.69,-7.93,-37.95
Rock,Hermit Formation,August,-0.4,-0.08,0.06,-2.16,-0.03,-1.16,-0.16,-22.42,-1.65,-8.04,-40.18
Saddle Horse,Supai Group,September,-2.5,0.07,0.21,-2.16,0.64,-3.19,-2.27,-23.21,-1.6,-8.59,-37.95
Cottonwood (Tuckup),Supai Group,April,-0.32,0.5,0.65,-2.63,1.13,-1.34,-0.07,-23.48,-1.82,-7.47,-40.4
Hotel,Supai Group,August,-1.64,0.4,0.54,-2.61,1.29,-2.01,-1.43,-23.79,-1.44,-7.48,-34.65
Hotel,Supai Group,July,-1.64,0.9,1.04,-3.07,2.39,-2.11,-1.43,-24.79,-1.43,-7.31,-32.58
Cottonwood,Supai Group,March,-1.33,0.68,0.83,-2.79,1.51,-1.98,-1.08,-24.24,-1.8,-8.4,-38.59
