Spring Name,Formation,Date,Al(OH)3(a),Aragonite,Calcite,Cd(OH)2,Cerrusite,CO2(g),Dolomite,Fe(OH)3(a),Fluorite,Gibbsite,Goethite,H2(g),H2O(g),Halite,Hausmannite,Hematite,Manganite,O2(g),Otavite,Pb(OH)2,Pyrochroite,Pyrolusite,Rhodochrosite,Siderite,Smithsonite,Strontianite,Witherite,Zn(OH)2(e)
Table Rock,Toroweap Formation,8/27/2015,-2.86,-5.34,-5.2,-7.51,-4.67,-5.76,-10.56,1.16,-9.57,-0.1,6.79,-23.62,-1.7,-13.94,-16.6,15.56,-6,-38.45,-5.69,-2.35,-7.66,-11.4,-5.29,-5.65,-5.05,-3.74,-6.94,-2.54
Wildband,Toroweap Formation,11/6/2012,-3.15,-4.73,-4.58,-6.99,-4.47,-6.6,-9.44,1.65,-8.9,-0.36,7.18,-24.63,-1.78,-13.67,-12.96,16.31,-4.36,-37.5,-6.02,-1.44,-6.52,-9.76,-5.02,-6.45,-5.76,-3.08,-6.39,-2.36
Pigeon,Toroweap Formation,3/15/2012,-2.67,-5.56,-5.41,-9.72,-5.63,-4.59,-11.16,-0.51,-9.43,0.19,4.75,-22.06,-1.97,-13.89,-22.86,11.43,-7.49,-45.19,-6.8,-4.91,-8.35,-15.36,-4.91,-5.22,-6.46,-3.81,-7.26,-4.94
Pigeon,Toroweap Formation,11/7/2012,-2.96,-5.3,-5.15,-9.59E+00,-5.49E+00,-4.79E+00,-1.06E+01,-4.60E-01,-9.39E+00,-1.50E-01,4.94E+00,-2.25E+01,-1.87E+00,-1.38E+01,-2.10E+01,1.18E+01,-7.11E+00,-4.31E+01,-6.84E+00,-4.42E+00,-8.17,-14.16,-4.88,-5.61,-6.14,-3.58,-7.06,-4.5
Pigeon,Toroweap Formation,9/10/2014,-2.04,-5.5,-5.35,-9.45,-4.86,-4.45,-10.88,-0.3,-9.46,0.7,5.41,-21.82,-1.64,-13.99,-22.38,12.8,-8.41,-41.31,-6.32,-3.76,-9.17,-14.36,-5.47,-4.93,-5.72,-3.8,-7.37,-4.54
Upper Jumpup,Coconino Sandstone,8/27/2009,-3.19,-5.77,-5.62,-9.61,-5.8,-5.16,-11.42,0.34,-10.43,-0.39,5.8,-22.84,-1.82,-14.28,-25.17,13.56,-8.59,-41.68,-7.22,-4.28,-9.85,-15.16,-6.93,-5.41,-5.41,-4.17,-7.06,-3.42
Upper Jumpup,Coconino Sandstone,7/7/2015,-1.66,-6.61,-6.46,-10.51,-5.41,-4.36,-13.06,-0.86,-10.69,1.14,4.6,-21.24,-1.83,-14.27,-29.5,11.14,-10.29,-44.92,-7.32,-4.69,-10.75,-17.68,-7.03,-5.01,-6.14,-5,-7.86,-4.95
Big,Coconino Sandstone,5/11/2016,-2.33,-6.11,-5.95,-8.51,-5.63,-5.34,-12.12,9.40E-01,-12.18,0.52,6.22,-23.26,-1.95,-15.91,-21.19,1.44E+01,-6.78E+00,-42.6,-6.33,-4.13,-8.24,-13.96,-5.54,-5.12,-6.45,-5.29,-5.51,-4.2
Little,Coconino Sandstone,11/10/2015,-3.15,-5.5,-5.35,-9.11,-5.71,-5.52,-10.86,9.30E-01,-11.03,-0.36,6.43,-23.64,-1.79,-14.43,-20.5,1.48E+01,-6.99E+00,-39.72,-7.08,-3.78,-8.65,-12.99,-6.07,-5.59,-5.52,-3.96,-6.43,-3.19
Boulder,Coconino Sandstone,11/10/2015,-2.47,-5.92,-5.77,-9.43,-5.98,-5.12,-11.68,0.03,-11,3.20E-01,5.53E+00,-22.84,-1.79E+00,-14.41,-20.99,13.02,-7.29,-41.32,-6.99,-4.46,-8.55,-13.69,-5.57,-5.68,-6.23,-4.34,-6.71,-4.3
Horse,Coconino Sandstone,8/25/2015,-2.55,-5.55,-5.4,-8.67,-4.81,-5.24,-10.91,1.03,-1.04E+01,0.2,6.68,-23.02,-1.69,-14.18,-17.4,15.33,-6.39,-39.55,-6.33,-3,-7.75,-12.04,-4.85,-4.95,-4.93,-3.89,-6.86,-2.95
Slide,Coconino Sandstone,8/27/2009,-3.15,-5.73,-5.58,-9.81,-6.2,-4.97,-11.29,0.12,-10.14,-0.37,5.67,-22.63,-1.76,-14.33,-25.39,13.3,-8.89,-41.28,-7.22,-4.77,-10.05,-15.19,-6.92,-5.36,-5.32,-4.03,-7.12,-3.56
